candidate,count,final,score
忘记,13,142.939726992164,10.995363614781846
身旁,23,142.8960841069422,6.212873222040965
很清楚,13,142.10289923997456,10.930992249228812
刚才,16,141.41533701373453,8.838458563358408
皮革,11,141.0088922883608,12.818990208032801
故事,15,140.69254335417685,9.379502890278456
光芒,12,140.34110168250038,11.69509180687503
胡子,17,139.46869130482804,8.204040664989884
听见,23,138.91770177267696,6.039900077072911
南方,15,138.85236976141692,9.256824650761128
家伙,16,138.73598938825072,8.67099933676567
彷佛,11,138.12264950203823,12.556604500185294
侏儒,9,137.9661892591226,15.329576584346952
泰洛西,11,137.80987506962725,12.528170460875204
弟弟,18,136.36448726477238,7.57580484804291
事情,21,134.7955171634905,6.418834150642405
完全,14,134.75215540114783,9.625153957224846
看起来,20,134.7403958545581,6.737019792727905
整个,18,134.53713987090532,7.474285548383628
斯特家,33,133.86473070973105,4.056506991203971
利克,29,132.31740493099764,4.562669135551642
首相,17,131.81864805094676,7.754038120643927
异鬼,13,131.30065879029414,10.100050676176473
视线,15,131.21520777977895,8.74768051865193
露出,14,131.10350916811572,9.364536369151123
窗户,10,130.53852544179847,13.053852544179847
个世界,12,128.79756639028545,10.733130532523788
金属,13,128.52377587100122,9.886444297769325
长城,29,127.95415186042297,4.412212133118033
那孩子,17,127.32684964133664,7.489814684784508
弥赛菈,9,126.66922091478332,14.074357879420369
颜色,13,126.30225202746426,9.715557848266481
多少,17,125.69338338994922,7.393728434702895
玻璃,8,125.66384739675745,15.70798092459468
罗伊斯,14,125.43339466819518,8.95952819058537
一阵,18,125.07549754320127,6.94863875240007
器库,10,124.94986940307511,12.494986940307511
有朝一日,10,124.73790946323663,12.473790946323664
卡拉萨,8,124.36087290751146,15.545109113438933
始终,13,124.33110343842506,9.563931033725005
两个,24,124.2015744779809,5.175065603249204
继承,9,124.0649670911439,13.784996343460433
静静地,12,123.88288037363544,10.32357336446962
女人,28,122.80002194242003,4.385715069372144
雷利亚,13,122.5477760427679,9.426752003289838
看看,28,122.48146485988482,4.374338030710172
妮莉丝,11,121.26392117168375,11.023992833789432
眼瞳,11,120.92467175091029,10.993151977355481
冰冷,14,120.88760647040996,8.634829033600711
席恩,14,120.70545131889801,8.621817951349858
以及,21,120.64376953977701,5.744941406656048
史塔克家,26,120.01583245760898,4.615993556061884
的名字,12,119.46873800021253,9.955728166684377
奔流城,11,118.82130173938162,10.801936521761967
淑女,10,117.82996922374042,11.782996922374043
的头发,14,117.11097230182625,8.365069450130447
喉咙,8,116.74328194982253,14.592910243727816
儿子,27,116.17068782193698,4.302618067479147
荣誉,9,116.09169025307072,12.899076694785636
泰洛,11,115.94337560851683,10.54030687350153
雪诺,12,115.83714016790597,9.653095013992164
瓦里斯,13,115.72907255223657,8.902236350172045
不知道,18,115.39778232635409,6.410987907019671
温暖,13,115.36492610900032,8.874225085307717
葡萄,8,114.90895989459398,14.363619986824247
御林铁卫,9,114.69937132785851,12.744374591984279
龙石岛,8,114.58173353681988,14.322716692102485
三叉,13,114.37362369009323,8.797971053084094
兄弟,13,113.70626399517691,8.746635691936685
厚重,12,113.42941514142159,9.452451261785132
绝境长城,11,113.30136784160257,10.300124349236597
瓦雷利,13,113.03090771097413,8.694685208536471
无法,15,112.82668774140289,7.521779182760193
国王大道,11,112.57674870684933,10.234249882440848
弥赛,11,112.1820506439828,10.198368240362074
消息,11,112.0072718401978,10.1824792581998
每一,21,111.65660332018106,5.316981110484813
北方,16,110.30330332004547,6.893956457502842
当年,21,110.11761666521643,5.243696031676973
的孩子,16,109.10530149088576,6.81908134318036
的东西,14,109.03596891415893,7.788283493868495
